filename,tumor
24 no.jpg,no
24 no.jpg,no
25 no.jpg,no
25 no.jpg,no
26 no.jpg,no
26 no.jpg,no
27 no.jpg,no
27 no.jpg,no
28 no.jpg,no
28 no.jpg,no
29 no.jpg,no
29 no.jpg,no
38 no.jpg,no
38 no.jpg,no
39 no.jpg,no
39 no.jpg,no
40 no.jpg,no
40 no.jpg,no
41 no.jpg,no
41 no.jpg,no
42 no.jpg,no
42 no.jpg,no
43 no.jpg,no
43 no.jpg,no
N11.jpg,no
N11.jpg,no
N15.jpg,no
N15.jpg,no
N2.JPG,no
N2.JPG,no
N3.jpg,no
N3.jpg,no
N5.jpg,no
N5.jpg,no
N6.jpg,no
N6.jpg,no
no 2.jpg,no
no 2.jpg,no
no 3.jpg,no
no 3.jpg,no
no 4.jpg,no
no 4.jpg,no
no 5.jpeg,no
no 6.jpg,no
no 6.jpg,no
no 7.jpeg,no
Y100.JPG,yes
Y100.JPG,yes
Y101.jpg,yes
Y101.jpg,yes
Y102.jpg,yes
Y102.jpg,yes
Y103.jpg,yes
Y103.jpg,yes
Y104.jpg,yes
Y104.jpg,yes
Y105.jpg,yes
Y105.jpg,yes
Y106.jpg,yes
Y106.jpg,yes
Y107.jpg,yes
Y107.jpg,yes
Y108.jpg,yes
Y108.jpg,yes
Y109.JPG,yes
Y109.JPG,yes
Y115.JPG,yes
Y115.JPG,yes
Y116.JPG,yes
Y116.JPG,yes
Y117.JPG,yes
Y117.JPG,yes
Y120.JPG,yes
Y120.JPG,yes
Y146.JPG,yes
Y146.JPG,yes
Y147.JPG,yes
Y147.JPG,yes
Y148.JPG,yes
Y148.JPG,yes
Y153.jpg,yes
Y153.jpg,yes
Y154.jpg,yes
Y154.jpg,yes
Y155.JPG,yes
Y155.JPG,yes
Y160.JPG,yes
Y160.JPG,yes
Y161.JPG,yes
Y161.JPG,yes
Y162.jpg,yes
Y162.jpg,yes
Y163.JPG,yes
Y163.JPG,yes
Y164.JPG,yes
Y164.JPG,yes
Y165.JPG,yes
Y165.JPG,yes
Y166.JPG,yes
Y166.JPG,yes
Y167.JPG,yes
Y167.JPG,yes
Y168.jpg,no
Y168.jpg,no
Y169.jpg,yes
Y169.jpg,yes
Y183.jpg,yes
Y183.jpg,yes
Y184.JPG,yes
Y184.JPG,yes
Y185.jpg,no
Y185.jpg,no
Y186.jpg,yes
Y186.jpg,yes
Y187.jpg,yes
Y187.jpg,yes
Y188.jpg,yes
Y188.jpg,yes
Y192.JPG,yes
Y192.JPG,yes
Y193.JPG,yes
Y193.JPG,yes
Y194.jpg,yes
Y194.jpg,yes
Y195.JPG,yes
Y195.JPG,yes
Y246.JPG,yes
Y246.JPG,yes
Y247.JPG,yes
Y247.JPG,yes
Y248.JPG,yes
Y248.JPG,yes
Y249.JPG,yes
Y249.JPG,yes
Y250.jpg,yes
Y250.jpg,yes
Y251.JPG,yes
Y251.JPG,yes
Y252.jpg,yes
Y252.jpg,yes
Y253.JPG,yes
Y253.JPG,yes
Y254.jpg,yes
Y254.jpg,yes
Y255.JPG,yes
Y255.JPG,yes
